gen_user,EER
1,0.474609375
2,0.6164408068339371
3,0.7454427083333333
4,0.6419798575288627
5,0.5427405498281788
6,0.28
7,0.4
8,0.5452208459920542
19,0.5186383019500743
21,0.31999999999999995
22,0.46645021645021645
26,0.5440292096219932
27,0.49226804123711343
28,0.5414518900343643
29,0.40871993127147765
35,0.5414518900343643
36,0.5420962199312716
37,0.62109375
38,0.5006426735218509
39,0.30404006490963015
40,0.4585481099656358
41,0.3756443298969072
42,0.41258591065292094
43,0.20854810996563578
44,0.5835481099656357
45,0.625
46,0.6314432989690721
48,0.36726804123711343
49,0.625
